artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
J. P. Pickens,Marin County raga-rock,1937,1973,36,1937-05-06,1937-05-06,1937-05-06,1973-07-06,1973-07-06,1973-07-06
J. R. Mitchell,Jazz,1937,2004,67,1937-04-13,1937-04-13,1937-04-13,2004-01-25,2004-01-25,2004-01-25
J. T. Meirelles,Jazz,1940,2008,68,1940-10-10,1940-10-10,1940-10-10,2008-06-03,2008-06-03,2008-06-03
Jabu Khanyile,Jazz,1957,2006,49,1957-02-28,1957-02-28,28,2006-11-12,12,2006-11-12
Jack Guthrie,Western swing,1915,1948,33,1915-11-13,1915-11-13,1915-11-13,1948-01-15,1948-01-15,
Jackie Edwards (musician),Reggae,1938,1992,54,,1938,1938,1992-08-15,15,1992-08-15
Jackie McLean,Post-bop,1931,2006,75,1931-05-17,1931-05-17,1931-05-17,2006-03-31,2006-03-31,2006-03-31
Jackie Mittoo,Reggae,1948,1990,42,1948-03-03,1948-03-03,3,1990-12-16,1990-12-16,1990-12-16
Jackie Orszaczky,R&B,1948,2008,60,1948-05-08,1948-05-08,8,2008-02-03,3,2008-02-03
Jackie Verdell,Soul music,1937,2002,65,,1937,1937,,2002,2002
Jackie Washington,Blues music,1919,2009,90,1919-11-12,1919-11-12,1919-11-12,2009-06-27,2009-06-27,2009-06-27
Jackie Wilson,Pop music,1934,1984,50,1934-06-09,1934-06-09,1934-06-09,1984-01-21,1984-01-21,1984-01-21
Jack McDuff,Rhythm and blues,1926,2001,75,1926-09-17,1926-09-17,1926-09-17,2001-01-23,2001-01-23,2001-01-23
Jack Nitzsche,Jazz,1937,2000,63,1937-04-22,1937-04-22,22,2000-08-25,2000-08-25,2000-08-25
Jack Owens (blues singer),Delta blues,1904,1997,93,1904-11-17,,1904-11-17,1997-02-09,1997-02-09,
Jack Reno,Country music,1935,2008,73,1935-11-30,1935-11-30,1935-11-30,2008-11-01,2008-11-01,2008-11-01
Jack Rose (guitarist),Ragtime,1971,1970,-1,1971-02-16,1971-02-16,1971-02-16,--12-05,2009-12-05,2009-12-05
Jack Schroer,Rhythm and blues,1944,1995,51,1944-01-12,1944-01-12,1944-01-12,1995-06-23,1995-06-23,1995-06-23
Jackson C. Frank,Folk music,1943,1999,56,1943-03-02,1943-03-02,1943-03-02,1999-03-03,1999-03-03,1999-03-03
Jack Teagarden,Jazz,1905,1964,59,1905-08-20,1905-08-20,1905-08-20,1964-01-15,1964-01-15,1964-01-15
Jack Tracy,Jazz,1926,2010,84,1926-07-27,1926-07-27,1926-07-27,2010-12-21,2010-12-21,2010-12-21
Jack Waldman,Funk,1952,1986,34,1952-09-06,1952-09-06,1952-09-06,1986-05-17,1986-05-17,1986-05-17
Jacob Miller,Reggae,1952,1980,28,1952-05-04,1952-05-04,1952-05-04,1980-03-23,1980-03-23,1980-03-23
Jaco Pastorius,Jazz,1951,1987,36,1951-12-01,1951-12-01,1951,1987-09-21,1987,1987-09-21
Jacqueline du Pré,Classical music,1945,1987,42,1945-01-26,1945-01-26,26,1987-10-19,19,1987-10-19
Jacques Brel,Chanson,1929,1978,49,1929-04-08,1929-04-08,8,1978-10-09,1978-10-09,1978-10-09
Jagjit Singh,Devotional song,1941,2011,70,1941-02-08,1941-02-08,8,2011-10-10,10,2011-10-10
Jahan Talyshinskaya,Folk music,1909,1967,58,1909-02-09,1909-02-09,1909-02-09,1967-03-01,1,1967-03-01
Jah Jerry Haynes,Rocksteady,1921,2007,86,1921-08-11,1921-08-11,1921-08-11,2007-08-13,2007-08-13,2007-08-13
Jah Lloyd,Reggae,1947,1999,52,1947-08-29,1947-08-29,29,1999-06-05,12,1999-06-05
Jah Woosh,Reggae,1952,2011,59,,,1952,2011-02-21,21,
Jaibi,R&B,1943,1984,41,1943-02-06,1943-02-06,1943-02-06,1984-09-04,1984-09-04,1984-09-04
Jake Hess,Southern gospel,1927,2004,77,1927-12-24,1927-12-24,1927-12-24,2004-01-04,2004-01-04,2004-01-04
Jake Thackray,Comedy,1938,2002,64,1938-02-27,1938-02-27,1938,2002-12-24,2002,2002-12-24
Jamal Woolard,Hip hop music,1975,2012,37,1975-07-08,1975-07-08,1975,,2012,
James Blackwood,Southern Gospel,1919,2002,83,1919-08-04,,4,2002-02-03,3,2002-02-03
James Brockman,Show tune,1886,1967,81,1886-12-08,1886-12-08,1886-12-08,1967-05-22,1967-05-22,1967-05-22
James Brown,Doo-wop,1933,2006,73,1933-05-03,1933-05-03,1933-05-03,2006-12-25,2006-12-25,2006-12-25
James Bubber Miley,Dixieland,1903,1932,29,1903-04-03,1903-04-03,1903,1932-05-20,1932,"Welfare Island, New York, United States"
James Byrne (musician),Folk music,1946,2008,62,1946-01-01,1946-01-01,1,2008-11-07,7,
James Cleveland,Urban contemporary gospel,1931,1991,60,1931-12-05,1931-12-05,1931-12-05,1991-02-09,1991-02-09,1991-02-09
James David Vaughan,Christian music,1864,1941,77,1864-12-14,1864-12-14,1864-12-14,1941-02-09,1941-02-09,1941-02-09
James Freud,Rock music,1959,2010,51,1959-06-29,1959-06-29,1959,2010-11-04,2010,2010-11-04
James Jamerson,Soul music,1936,1983,47,1936-01-29,1936-01-29,1936-01-29,1983-08-02,1983-08-02,1983-08-02
James Moody (saxophonist),Hard bop,1925,2010,85,1925-03-26,1925-03-26,1925-03-26,2010-12-09,2010-12-09,2010-12-09
James Stump Johnson,St. Louis blues (music),1902,1969,67,1902-01-17,1902-01-17,1902-01-17,1969-12-05,1969-12-05,1969-12-05
James Sugar Boy Crawford,Rhythm and blues,1934,2012,78,1934-10-12,1934-10-12,1934-10-12,2012-09-15,2012-09-15,2012-09-15
Jam-Master Jay,East Coast hip hop,1965,2002,37,1965-01-21,,1965-01-21,2002-10-30,2002-10-30,
Jan Dismas Zelenka,Baroque,1679,1745,66,1679-10-16,1679-10-16,1679-10-16,1745-12-23,23,1745-12-23
Jane Jarvis,Jazz,1907,2010,103,1907-05-26,1907-05-26,1907-05-26,2010-01-25,2010-01-25,2010-01-25
Jani Lane,Hard rock,1964,2011,47,1964-02-01,1964-02-01,1964-02-01,2011-08-10,--08-11,2011-08-11
Janis Joplin,Blues rock,1943,1970,27,1943-01-19,1943-01-19,1943-01-19,1970-10-04,1970-10-04,1970-10-04
Janis Martin,Rockabilly,1940,2007,67,1940-03-27,1940-03-27,1940-03-27,2007-09-03,2007-09-03,2007-09-03
Jan Terri,Blues,1959,2012,53,1959-06-17,1959-06-17,1959-06-17,,,2012
Janusz Kruk,Country music,1946,1992,46,1946-08-07,1946-08-07,1946-08-07,1992-05-18,1992-05-18,1992-05-18
Jan Werner Danielsen,Classical music,1976,2006,30,1976-04-10,,10,2006-09-29,29,
Jared Anderson (heavy metal musician),Death metal,1974,2006,32,1974-12-28,1974-12-28,1974,2006-10-14,2006,2006-10-14
Jarmo Savolainen,Jazz,1961,2009,48,1961-05-24,1961-05-24,24,2009-06-11,11,2009-06-11
Jasmine You,Neo-classical metal,1979,2009,30,1979-03-08,1979-03-08,1979-03-08,2009-08-09,2009-08-09,2009-08-09
Jason Thirsk,Skate punk,1967,1996,29,1967-12-25,,1967-12-25,1996-07-29,1996,1996-07-29
Javier Solís,Ranchera,1931,1966,35,1931-09-01,1931-09-01,1931-09-01,1966-04-19,1966-04-19,1966-04-19
Jay Bennett,Americana (music),1963,2009,46,1963-11-15,1963-11-15,1963-11-15,2009-05-24,2009,2009-05-24
Jay McShann,Bebop,1916,2006,90,1916-01-12,1916-01-12,1916-01-12,2006-12-07,2006-12-07,2006-12-07
Jay Reatard,Punk rock,1980,2010,30,1980-05-01,1980-05-01,1980-05-01,2010-01-13,2010-01-13,2010-01-13
Jazmine Sullivan,Contemporary R&B,1987,3008,1021,1987-04-09,1987-04-09,1987-04-09,,3008,
Jean-Delphin Alard,Classical music,1815,1888,73,1815-05-08,1815-05-08,1815-05-08,,1888-02-22,1888-02-22
Jean Goldkette,Jazz,1893,1962,69,,,1893-03-18,,1962-03-24,
Jean Karat,Arabic music,1949,2003,54,,1949,1949,2003-12-07,2003,2003-12-07
Jeff Buckley,Folk music,1966,1997,31,1966-11-17,1966-11-17,1966-11-17,1997-05-29,1997-05-29,1997-05-29
Jeff Healey,Blues-rock,1966,2008,42,1966-03-25,1966-03-25,1966-03-25,2008-03-02,2008-03-02,2008-03-02
Jeffrey Frederick,Rock and roll,1950,1997,47,,,1950,,1997,
Jelly Roll Morton,Dixieland,1885,1941,56,1885-10-20,1885-10-20,1890-09-20,1941-07-10,1941-07-10,1941-07-10
Jenny Lou Carson,Country music,1915,1978,63,1915-01-13,1915-01-13,1915-01-13,1978-12-16,1978-12-16,1978-12-16
Jens Winther,Jazz,1960,2011,51,1960-10-29,1960-10-29,1960-10-29,2011-02-24,24,2011-02-24
Jermaine Stewart,Dance music,1957,1997,40,1957-09-07,1957-09-07,1957-09-07,1997-03-17,1997-03-17,1997-03-17
Jerome Smith (musician),Disco,1953,2000,47,1953-06-18,1953-06-18,1953-06-18,2000-07-28,2000-07-28,2000-07-28
Jerry Bock,Musical theater,1928,2010,82,1928-11-23,1928-11-23,1928-11-23,2010-11-03,2010-11-03,2010-11-03
Jerry Byrd,Hawaiian music,1920,2005,85,1920-03-09,1920-03-09,1920-03-09,2005-04-11,2005-04-11,2005-04-11
Jerry Edmonton,Heavy metal music,1946,1993,47,1946-10-24,1946-10-24,1946-10-24,1993-11-28,1993-11-28,1993-11-28
Jerry Finn,Punk rock,1969,2008,39,1969-03-31,1969-03-31,1969,2008-08-21,2008,2008-08-21
Jerry Garcia,Rhythm and blues,1942,1995,53,1942-08-01,1942-08-01,1942-08-01,1995-08-09,1995-08-09,1995-08-09
Jerry Goldsmith,Film score,1929,2004,75,1929-02-10,1929-02-10,1929,2004-07-21,2004,2004-07-21
Jerry Lynn Williams,Rock music,1948,2005,57,1948-01-01,1948,1948-01-01,2005-11-25,2005-11-25,2005-11-25
Jerry Nolan,Rock and roll,1946,1992,46,1946-05-07,,1946-05-07,1992-01-14,1992-01-14,1992-01-14
Jerry Reed,Rockabilly,1937,2008,71,1937-03-20,1937-03-20,1937,2008-09-01,2008,2008-09-01
Jerry Wallace,Traditional popular music,1928,2008,80,1928-12-15,1928-12-15,1928-12-15,2008-05-05,2008-05-05,2008-05-05
Jesse Ed Davis,Blues,1944,1988,44,1944-09-21,1944-09-21,1944-09-21,1988-06-22,1988-06-22,1988-06-22
Jesse Fortune,Chicago blues,1930,2009,79,1930-02-28,1930-02-28,1930,2009-08-31,2009,2009-08-31
Jesse Fuller,Blues,1896,1976,80,1896-03-12,1896-03-12,1896-03-12,1976-01-29,1976-01-29,1976-01-29
Jesse McCartney,Pop rock,1987,2011,24,1987-04-09,1987-04-09,1987-04-09,2011-11-07,,
Jesse Pintado,Grindcore,1969,2006,37,1969-07-12,1969-07-12,1969-07-12,2006-08-27,2006-08-27,2006-08-27
Jesse Stone,Rock and roll,1901,1999,98,1901-11-16,1901-11-16,1901-11-16,1999-04-01,1,1999-04-01
Jessie Broughton,Comedy,1885,1938,53,1885-03-29,1885-03-29,1885,,1938,1938
Jessie Hill,Rhythm and blues,1932,1996,64,1932-12-09,1932-12-09,1932-12-09,1996-09-17,1996-09-17,1996-09-17
Jess Stacy,Jazz,1904,1995,91,1904-08-11,1904-08-11,1904-08-11,1995-01-01,1995-01-01,1995-01-01
Jessy Dixon,R&B,1938,2011,73,1938-03-12,1938-03-12,1938-03-12,2011-09-26,2011-09-26,2011-09-26
Jesús de la Rosa Luque,Flamenco,1948,1983,35,1948-03-05,5,5,1983-10-14,14,14
Jesús Vásquez,Música criolla,1920,2010,90,1920-12-20,1920-12-20,1920-12-20,2010-04-03,2010-04-03,2010-04-03
Jikki,Indian classical music,1935,2004,69,1935-11-03,1935,1935,2004-08-16,2004-08-16,2004-08-16
Jim Babjak,Power pop,1957,2011,54,1957-11-17,1957-11-17,1957-11-17,2011-01-30,2011-01-30,
Jim Capaldi,Latin music,1944,2005,61,1944-08-02,1944-08-02,2,2005-01-28,28,2005-01-28
Jim Croce,Pop music,1943,1973,30,1943-01-10,1943-01-10,1943-01-10,1973-09-20,1973-09-20,1973-09-20
Jim Dewar,Blue eyed soul,1942,2002,60,1942-10-12,,1942,2002-05-16,2002,2002-05-16
Jim Eanes,Country music,1923,1995,72,1923-12-06,1923-12-06,1923-12-06,1995-11-21,1995-11-21,1995-11-21
Jimi Hendrix,Psychedelic rock,1942,1970,28,1942-11-27,1942-11-27,1942-11-27,1970-09-18,1970-09-18,1970-09-18
Jimmie Dolan,Western swing,1916,1994,78,1916-10-29,1916-10-29,1916-10-29,1994-07-31,1994-07-31,1994-07-31
Jimmie Noone,Jazz,1895,1944,49,1895-04-23,1895-04-23,1895-04-23,1944-04-19,1944-04-19,1944-04-19
Jimmie Rodgers (country singer),Country music,1897,1933,36,1897-09-08,1897-09-08,1897-09-08,1933-05-26,1933-05-26,1933-05-26
Jim Morrison,Psychedelic rock,1943,1971,28,1943-12-08,1943-12-08,1943-12-08,1971-07-03,1971-07-03,1971-07-03
Jimmy Archey,Dixieland,1902,1967,65,1902-10-12,,1902-10-12,1967-11-16,1967-11-16,
Jimmy Cartwright,Rock and roll,1933,2009,76,1933-08-09,,,2009-10-02,,Sheffield
Jimmy Cleveland,Hard bop,1926,2008,82,1926-05-03,1926-05-03,1926-05-03,2008-08-23,2008-08-23,2008-08-23
Jimmy Dorsey,Big band music,1904,1957,53,1904-02-29,1904-02-29,1904-02-29,1957-06-12,1957-06-12,1957-06-12
Jimmy Driftwood,Folk music,1907,1998,91,1907-06-20,1907-06-20,1907-06-20,1998-07-12,1998-07-12,1998-07-12
Jimmy Faulkner,Blues music,1950,2008,58,1950-01-31,,31,2008-03-04,4,
Jimmy Garrison,Jazz,1933,1976,43,1933-03-03,1934-03-03,1933-03-03,1976-04-07,1976-04-07,1976-04-07
Jimmy Giuffre,Free jazz,1921,2008,87,1921-04-26,1921-04-26,1921-04-26,2008-04-24,2008-04-24,2008-04-24
Jimmy Hamilton,Jazz,1917,1994,77,1917-05-25,1917-05-25,25,1994-09-20,1994-09-20,1994-09-20
Jimmy Jones (singer),Pop music,1937,2012,75,1937-06-02,1937-06-02,1937-06-02,2012-08-02,2012-08-02,2012-08-02
Jimmy Knepper,Jazz,1927,2003,76,1927-11-22,1927-11-22,1927-11-22,2003-06-14,2003-06-14,2003-06-14
Jimmy Little,Acoustic music,1937,2012,75,1937-03-01,1937-03-01,1,2012-04-02,2,2012-04-02
Jimmy Lyons,Free jazz,1931,1986,55,1931-12-01,,1931-12-01,1986-05-19,1986-05-19,
Jimmy Makulis,Pop music,1935,2007,72,1935-04-12,1935-04-12,12,2007-10-28,2007-10-28,2007-10-28
Jimmy Martin,Bluegrass music,1927,2005,78,1927-08-10,1927-08-10,1927-08-10,2005-05-14,2005-05-14,2005-05-14
Jimmy McCulloch,Hard rock,1953,1979,26,1953-06-04,1953-06-04,1953-06-04,1979-09-27,27,1979-09-27
Jimmy McGriff,Jazz,1936,2008,72,1936-04-03,1936-04-03,1936-04-03,2008-05-24,2008-05-04,2008-05-24
Jimmy McShane,New Wave music,1957,1995,38,1957-05-23,1957-05-23,,1995-03-29,,1995-03-29
Jimmy Nelson (singer),Jump blues,1928,2007,79,1928-04-07,1919-04-07,1928-04-07,2007-07-29,2007-07-29,2007-07-29
Jimmy Norman,Jazz,1937,2011,74,1937-08-12,1937-08-12,1937-08-12,2011-11-08,2011-11-08,2011-11-08
Jimmy O,Hip hop music,1974,2010,36,1974-03-09,1974-03-09,1974-03-09,2010-01-12,2010-01-12,2010-01-12
Jimmy Orion Ellis,Country music,1945,1998,53,1945-02-26,1945-02-26,1945-02-26,1998-12-12,1998-12-12,1998-12-12
Jimmy Palao,Jazz,1879,1925,46,1879-02-19,,19,1925-01-08,1925-01-08,
Jimmy Rogers,Chicago blues,1924,1997,73,1924-06-03,1924-06-03,1924-06-03,1997-12-19,1997-12-19,1997-12-19
Jimmy Rowles,Jazz,1918,1996,78,1918-08-19,1918-08-19,1918-08-19,1996-05-28,1996-05-28,1996-05-28
Jimmy Smith (musician),Jazz-funk,1925,2005,80,1925-12-08,1925-12-08,1925-12-08,2005-02-08,2005-02-08,2005-02-08
Jimmy Wakely,Country music,1914,1982,68,1914-02-16,1914-02-16,1914-02-16,1982-09-23,1982-09-23,1982-09-23
Jimmy Witherspoon,Jump blues,1920,1997,77,1920-08-08,1920-08-08,1920-08-08,1997-09-18,1997-09-18,1997-09-18
Jimmy Yancey,Boogie-woogie,1894,1951,57,1894-02-20,1894-02-20,1898-02-20,1951-09-17,1951-09-17,1951-09-17
Jim Reeves,Gospel,1923,1964,41,1923-08-20,1923-08-20,1923-08-20,1964-07-31,1964-07-31,1964-07-31
Jim Reid (folk musician),Music of Scotland,1934,2009,75,1934-05-05,5,5,2009-07-06,6,2009-07-06
Jim Sherwood,Experimental rock,1942,2011,69,1942-05-08,1942-05-08,1942-05-08,2011-12-25,2011-12-25,2011-12-25
Jiří Jelínek (trumpeter),Jazz,1922,1984,62,1922-07-06,1922-07-06,6,1984-10-16,16,1984-10-16
Jiří Šlitr,Jazz,1924,1969,45,1924-02-15,1924-02-15,1924-02-15,1969-12-26,26,1969-12-26
Jiří Traxler,Swing (music),1912,2011,99,1912-03-12,1912-03-12,1912-03-12,2011-08-07,7,2011-08-07
Joan Morrissey,Traditional music,1933,1978,45,1933-01-27,1933-01-27,1933-01-27,1978-01-10,1978-01-10,1978-01-10
Joan Weber,Traditional pop music,1935,1981,46,1935-12-12,1935-12-12,1935-12-12,1981-05-13,1981-05-13,1981-05-13
Jobriath,Glam rock,1946,1983,37,1946-12-14,1946-12-14,1946,1983-08-03,1983,1983-08-03
Jocelyne Jocya,Chanson,1942,2003,61,1942-01-07,1942-01-07,1942-01-07,2003-08-18,2003-08-18,2003-08-18
Joe Albany,Jazz,1924,1988,64,1924-01-24,1924-01-24,1924-01-24,1988-01-12,1988-01-12,1988-01-12
Joe Arroyo,Joeson,1955,2011,56,1955-11-01,1955-11-01,1,2011-07-26,26,2011-07-26
Joe Dassin,Chanson,1938,1980,42,1938-11-05,1938-11-05,1938-11-05,1980-08-20,1980-08-20,1980-08-20
Joe Davis (music publisher),Rhythm and blues,1896,1978,82,1896-10-06,1896-10-06,1896-10-06,1978-09-03,1978-09-03,1978-09-03
Joe Farrell,Jazz,1937,1986,49,1937-12-16,1937-12-16,1937,1986-01-10,1986,1986-01-10
Joe Harnell,Pop music,1924,2005,81,1924-08-02,,1924-08-02,2005-07-14,2005-07-14,
Joe Henderson,Mainstream jazz,1937,2001,64,1937-04-24,United_States,1937,2001-06-30,2001,"San Francisco, California, United States"
Joe Higgs,Rocksteady,1940,1999,59,1940-06-03,1940-06-03,1940-06-03,1999-12-18,18,1999-12-18
Joe King Oliver,Dixieland,1885,1938,53,1885-05-11,1885-05-11,1885-12-19,1938-04-10,1938-04-10,1938-04-10
Joel DiGregorio,Country music,1944,2011,67,1944-01-08,1944-01-08,1944-01-08,2011-10-12,2011-10-12,2011-10-12
Joe Lee Wilson,Jazz fusion,1935,2011,76,1935-12-22,,1935-12-22,2011-07-17,2011-07-17,
Joe Loss,Swing music,1909,1990,81,1909-06-22,1909-06-22,1909-06-22,1990-06-06,6,1990-06-06
Joe Lutcher,R&B,1919,2006,87,1919-12-23,1919-12-23,23,2006-10-29,29,2006-10-29
Joe Marsala,Swing music,1907,1978,71,1907-01-04,1907-01-04,1907-01-04,1978-03-04,1978-03-04,1978-03-04
Joe Morello,Third stream,1928,2011,83,1928-07-17,1928-07-17,1928-07-17,2011-03-12,2011-03-12,2011-03-12
Joe Moretti,Skiffle,1938,2012,74,1938-05-10,1938-05-10,1938-05-10,2012-02-09,9,Scotland
Joe Negroni,Rock and Roll,1940,1978,38,1940-09-09,1940-09-09,1940-09-09,1978-09-05,1978-09-05,1978-09-05
Joe Pass,Jazz,1929,1994,65,1929-01-13,1929-01-13,1929-01-13,1994-05-23,1994-05-23,1994-05-23
Joe Poovey,Rockabilly,1941,1998,57,1941-05-10,1941-05-10,1941-05-10,1998-10-06,1998-10-06,1998-10-06
Joe Pullum,Blues,1905,1964,59,1905-12-25,--12-25,1905-12-25,1964-01-06,1964-01-06,--01-06
Joe Raposo,Blues,1937,1989,52,1937-02-08,1937-02-08,1937-02-08,1989-02-05,1989-02-05,1989-02-05
Joe Schermie,Rock music,1946,2002,56,1946-02-12,,1946-02-12,2002-03-25,2002-03-25,
Joe South,Rock music,1940,2012,72,,1940-02-28,1940,2012-09-05,2012,2012-09-05
Joe Strummer,Punk rock,1952,2002,50,1952-08-21,1952-08-21,1952-08-21,2002-12-22,22,2002-12-22
Joe Sullivan,Jazz,1906,1971,65,1906-11-04,1906-11-04,1906-11-04,1971-10-13,1971-10-13,1971-10-13
Joe Tex,Deep soul,1933,1982,49,1933-08-08,1933-08-08,1935-08-08,1982-08-13,1982-08-13,1982-08-13
Joe Weaver,Rhythm and blues,1934,2006,72,1934-08-27,1934-08-27,1934-08-27,2006-07-05,2006-07-05,"Southfield, Michigan, United States"
Joe Williams (jazz singer),Blues music,1918,1999,81,1918-12-12,1918-12-12,1918-12-12,1999-03-29,1999-03-29,1999-03-29
Joe Willie Wilkins,Memphis blues,1921,1981,60,1921-01-07,1921-01-07,1921-01-07,1981-03-28,1981-03-28,1981-03-28
Joe Yamanaka,Psychedelic rock,1946,2011,65,1946-09-02,1946-09-02,1946-09-02,2011-08-07,2011-08-07,2011-08-07
Joey Ramone,Punk rock,1951,2001,50,1951-05-19,1951-05-19,1951,2001-04-15,2001,2001-04-15
Joe Zawinul,Jazz fusion,1932,2007,75,1932-07-07,1932-07-07,1932-07-07,2007-09-11,2007-09-11,2007-09-11
John Allan Cameron,Celtic music,1938,2006,68,1938-12-16,1938-12-16,16,2006-11-22,22,2006-11-22
John Baker Saunders,Grunge,1954,1999,45,1954-09-23,1954-09-23,1954-09-23,1999-01-15,1999-01-15,1999-01-15
John Balance,Electronic music,1962,2004,42,1962-02-16,1962-02-16,1962-02-16,2004-11-13,2004-11-13,2004-11-13
John Barry (composer),Film score,1933,2011,78,1933-11-03,1933-11-03,1933,2011-01-30,2011,2011-01-30
John Bassette,Folk music,1941,2006,65,1941-12-28,1941-12-28,1941-12-28,2006-11-01,2006,2006-11-01
John Bonham,Hard rock,1948,1980,32,1948-05-31,1948-05-31,31,1980-09-25,25,1980-09-25
John Brim,Blues,1922,2003,81,1922-04-10,1922-04-10,1922-04-10,2003-10-01,2003-10-01,2003-10-01
John Bunch,Jazz,1921,2010,89,1921-12-01,1921-12-01,1921-12-01,2010-03-30,2010-03-30,2010-03-30
John Coltrane,Free jazz,1926,1967,41,1926-09-23,1926-09-23,1926-09-23,1967-07-17,--07-17,1967-07-17
John Curulewski,Progressive Rock,1950,1988,38,1950-10-03,1950-10-03,1950-10-03,1988-02-13,1988-02-13,1988-02-13
John Dankworth,Cool jazz,1927,2010,83,1927-09-20,1927-09-20,20,2010-02-06,6,2010-02-06
John Dawson (musician),Country rock,1945,2009,64,1945-06-16,1945-06-16,1945,2009-07-21,2009,2009-07-21
John Denver,Folk music,1943,1997,54,1943-12-31,1943-12-31,1943,1997-10-12,1997,1997-10-12
John Duffey,Bluegrass music,1934,1996,62,1934-03-04,,1934-03-04,1996-12-10,1996-12-10,
John Entwistle,Rock music,1944,2002,58,1944-10-09,1944-10-09,1944-10-09,2002-06-27,2002-06-27,--06-27
John Fahey (musician),American Primitivism,1939,2001,62,1939-02-28,1939-02-28,1939-02-28,2001-02-22,2001-02-22,2001-02-22
John Farrell (poet),Beat music,1968,2010,42,1968-05-22,1968-05-22,1968-05-22,2010-11-04,4,2010-11-04
John Fred,Swamp pop,1941,2005,64,1941-05-08,1941-05-08,1941,2005-04-14,2005,2005-04-14
John Gilmore (musician),Avant-garde jazz,1931,1995,64,1931-10-29,,1931-10-29,1995-08-20,1995-08-20,
John Glascock,Progressive Rock,1951,1979,28,1951-05-02,1951-05-02,2,1979-11-17,17,1979-11-17
John Graas,West Coast jazz,1917,1962,45,1917-03-14,1917-03-14,1917-03-14,1962-04-13,1962-04-13,1962-04-13
John Hartford,Folk music,1937,2001,64,1937-12-30,1937-12-30,1937-12-30,2001-06-04,2001-06-04,2001-06-04
John Kahn,Rock music,1947,1996,49,1947-06-13,,1947-06-13,1996-05-30,1996-05-30,
John Kameaaloha Almeida,Hawaiian language,1897,1985,88,1897-11-28,1897-11-28,1897-11-28,1985-10-09,9,1985-10-09
John Kirby (musician),Jazz,1908,1952,44,1908-12-31,1908-12-31,1908-12-31,1952-06-14,1952-06-14,1952-06-14
John Lee Hooker,Talking blues,1917,2001,84,1917-08-22,1917-08-22,1917-08-22,2001-06-21,2001-06-21,2001-06-21
John Lennon,Pop music,1940,1980,40,1940-10-09,1940-10-09,9,1980-12-08,8,1980-12-08
John Martyn,Folk jazz,1948,2009,61,1948-09-11,1948-09-11,11,2009-01-29,29,2009-01-29
John Mayhew (musician),Progressive rock,1947,2009,62,1947-03-27,1947-03-27,1947-03-27,2009-03-26,2009-03-26,2009-03-26
John McLevy,Jazz,1927,2002,75,1927-01-02,,1927-01-02,2002-11-27,2002-11-27,
Johnnie Johnson (musician),Jazz,1924,2005,81,1924-07-08,1924-07-08,1924-07-08,2005-04-13,2005-04-13,2005-04-13
Johnnie Ray,Traditional pop music,1927,1990,63,1927-01-10,1927-01-10,1927-01-10,1990-02-24,1990-02-24,1990-02-24
Johnnie Taylor,Doo-wop,1937,2000,63,1937-05-05,"Crawfordsville, Arkansas, United States",1937-05-05,2000-05-31,2000,2000-05-31
Johnny Adams,Gospel (music),1932,1998,66,1932-01-05,1932-01-05,1932-01-05,1998-09-14,1998-09-14,1998-09-14
Johnny Bond,Country music,1915,1978,63,1915-06-01,1915-06-01,1915-06-01,1978-06-12,1978-06-12,1978-06-12
Johnny Bristol,Soul music,1939,2004,65,1939-02-03,1939-02-03,1939-02-03,2004-03-21,2004-03-21,2004-03-21
Johnny Burnette,Rockabilly,1934,1964,30,1934-03-25,1934-03-25,1934-03-25,1964-08-14,1964-08-14,1964-08-14
Johnny Carroll,Rockabilly,1937,1995,58,1937-10-23,1937-10-23,1937-10-23,1995-02-18,1995-02-18,1995-02-18
Johnny Carter (singer),Rhythm and blues,1934,2009,75,1934-06-02,1934-06-02,1934-06-02,2009-08-21,2009-08-21,2009-08-21
Johnny Copeland,Electric blues,1937,1997,60,1937-03-27,1937-03-27,1937-03-27,1997-07-03,1997-07-03,1997-07-03
Johnny Country Mathis,Country music,1933,2011,78,1933-09-28,1933-09-28,1933-09-28,2011-09-27,2011-09-27,2011-09-27
Johnny Darrell,Country music,1940,1997,57,1940-07-23,1940-07-23,1940-07-23,1997-10-07,1997-10-07,1997-10-07
Johnny Desmond,Traditional pop music,1919,1985,66,1919-11-14,Giovanni Alfredo De Simone,1919-11-14,1985-09-06,1985-09-06,1985-09-06
Johnny Dollar (musician),Country music,1922,1986,64,1922-03-08,1922-03-08,1922-03-08,1986-04-13,1986-04-13,1986-04-13
Johnny Duncan (country singer),Country music,1938,2006,68,1938-10-05,1938-10-05,1938-10-05,2006-08-14,2006-08-14,2006-08-14
Johnny Dyani,Jazz,1945,1986,41,1945-11-30,1945-11-30,1945-11-30,1986-10-24,24,1986-10-24
Johnny Griffin,Post-bop,1928,2008,80,1928-04-24,1928-04-24,1928-04-24,2008-07-25,2008-07-25,2008-07-25
Johnny Guitar Watson,Blues-rock,1935,1996,61,1935-02-03,Houston,1935-02-03,1996-05-17,1996-05-17,Japan
Johnny Hammond Smith,Soul Jazz,1933,1997,64,1933-12-16,1933-12-16,1933-12-16,1997-06-04,1997-06-04,1997-06-04
